"score","a","b","doubtful","sex","length_cm","length_type","r2","sd_b","sd_log10_a","n","country","locality","species","family","length_cm_min","length_cm_max"
0.5,0.009,2.773,NA,"mixed",NA,"TL",NA,NA,NA,NA,"Philippines","Presumably Philippines.","Chromis xanthura","Pomacentridae",NA,NA
0.95,0.01257,2.844,"","unsexed","7.1- 26.9","TL",0.951,NA,NA,313,"Benin","Ouémé River Basin, 1999-2001","Chrysichthys auratus","Claroteidae",7.1,26.9
0.95,0.016,2.88,"","unsexed","9.0- 24.0","TL",0.949,NA,NA,70,"Nigeria","Oguta Lake","Chrysichthys auratus","Claroteidae",9,24
0.95,0.0216,2.944,"","unsexed","7.0- 19.3","SL",0.953,NA,NA,185,"Ghana","Volta River","Chrysichthys auratus","Claroteidae",7,19.3
0,0.0034,2.984,"yes","male","7.5- 32.0","SL",0.865,NA,NA,185,"Ghana","Lake Volta, 1995-96","Chrysichthys auratus","Claroteidae",7.5,32
0,0.0034,3.031,"yes","female","8.0- 35.0","SL",0.901,NA,NA,252,"Ghana","Lake Volta, 1995-96","Chrysichthys auratus","Claroteidae",8,35
0.96,0.0112,3.08,"","unsexed","","",0.96,NA,NA,291,"Nigeria","Tiga Lake (Kano River), 1978-79","Chrysichthys auratus","Claroteidae",NA,NA
0.94,0.015,2.784,NA,"unsexed","5.5- 36.5","SL",0.943,0.684,NA,242,"Cote d'Ivoire","River Bia (1995-97); Rivers Soumié, Eholié, Ehania and Noé, 2003-2005","Chrysichthys maurus","Claroteidae",5.5,36.5
0.83,0.0279,2.794,"","unsexed","16.0- 30.0","FL",0.828,NA,NA,191,"Nigeria","Kainji Lake","Chrysichthys nigrodigitatus","Claroteidae",16,30
0.94,0.011,2.899,"","unsexed","5.8- 42.5","SL",0.938,0.792,NA,392,"Cote d'Ivoire","River Bia (1995-97); Rivers Soumié, Eholié, Ehania and Noé, 2003-2005","Chrysichthys nigrodigitatus","Claroteidae",5.8,42.5
0,0.0025,2.919,"yes","male","7.5- 22.0","SL",0.955,NA,NA,125,"Ghana","Lake Volta, 1995-96","Chrysichthys nigrodigitatus","Claroteidae",7.5,22
0.98,0.0219,2.951,"","unsexed","","",0.976,NA,NA,63,"Nigeria","Cross River estuary","Chrysichthys nigrodigitatus","Claroteidae",NA,NA
0.94,0.0197,3.01,"","unsexed","6.0- 23.8","SL",0.937,NA,NA,275,"Ghana","Volta River","Chrysichthys nigrodigitatus","Claroteidae",6,23.8
0.94,0.0197,3.01,"","female","8.0- 22.0","SL",0.937,NA,NA,234,"Ghana","Lake Volta, 1995-96","Chrysichthys nigrodigitatus","Claroteidae",8,22
0.97,0.01,3.024,"","unsexed","14.6- 32.7","TL",0.972,NA,NA,5,"Ghana","Kpong Head Pond","Chrysichthys nigrodigitatus","Claroteidae",14.6,32.7
0.7,0.0079,3.042,"","unsexed","14.2- 89.2","TL",NA,NA,NA,NA,"Nigeria","Cross River estuary","Chrysichthys nigrodigitatus","Claroteidae",14.2,89.2
0.98,0.0079,3.042,"","mixed","14.2- 29.3","TL",0.979,NA,NA,2151,"Nigeria","Epe Lagoon, 2001-03","Chrysichthys nigrodigitatus","Claroteidae",14.2,29.3
0.95,0.013,3.163,NA,"unsexed",NA,"SL",0.949,NA,NA,218,"Zambia","Bangweulu swamps, 1994-96","Chrysichthys sharpii","Claroteidae",NA,NA
0.7,0.0074,3.114,NA,"unsexed","7.0- 24.0","TL",NA,NA,NA,NA,"Nigeria","Lekki Lagoon","Chrysichthys walkeri","Claroteidae",7,24
0.73,0.0074,3.114,NA,"mixed","7.0- 20.0","TL",0.729,NA,NA,1560,"Nigeria","Epe Lagoon, 2001-03","Chrysichthys walkeri","Claroteidae",7,20
0,0.02388,3,"","unsexed","6.6- 8.1","TL",NA,NA,NA,2,NA,NA,"Chrysiptera biocellata","Pomacentridae",6.6,8.1
0,0.03992,3,"yes","unsexed","5.5- 6.9","SL",NA,NA,NA,2,NA,NA,"Chrysiptera biocellata","Pomacentridae",5.5,6.9
0,0.02166,3,"","unsexed","6.3- 7.8","TL",NA,NA,NA,2,NA,NA,"Chrysiptera glauca","Pomacentridae",6.3,7.8
0,0.03796,3,"yes","unsexed","5.2- 6.5","SL",NA,NA,NA,2,NA,NA,"Chrysiptera glauca","Pomacentridae",5.2,6.5
0.9,0.0377,2.702,NA,"unsexed","3.5- 8.0","FL",0.903,NA,NA,54,"New Caledonia",NA,"Chrysiptera taupou","Pomacentridae",3.5,8
0.9,0.02199,3.001,NA,"mixed","3.5- 8.2","FL",0.895,NA,NA,85,"New Caledonia",NA,"Chrysiptera taupou","Pomacentridae",3.5,8.2
0.5,0.0893,2.68,NA,"unsexed",NA,"FL",NA,NA,NA,NA,"South Africa",NA,"Chrysoblephus anglicus","Sparidae",NA,NA
0.5,0.013,3.151,NA,"unsexed",NA,"",NA,NA,NA,NA,"South Africa","","Chrysoblephus cristiceps","Sparidae",NA,NA
0.99,0.0184,3.151,NA,"unsexed",NA,"FL",0.99,NA,NA,159,"South Africa","Tsitsikamma National Park","Chrysoblephus cristiceps","Sparidae",NA,NA
0.5,0.055,2.892,NA,"unsexed",NA,NA,NA,NA,NA,NA,"South Africa",NA,"Chrysoblephus gibbiceps","Sparidae",NA,NA
0.5,0.02,3.08,NA,"unsexed",NA,"TL",NA,NA,NA,NA,"South Africa","","Chrysoblephus laticeps","Sparidae",NA,NA
0.5,0.012,3.154,NA,"unsexed",NA,"",NA,NA,NA,NA,"South Africa","","Chrysoblephus laticeps","Sparidae",NA,NA
0.99,0.0171,3.154,NA,"unsexed",NA,"FL",0.99,NA,NA,242,"South Africa","Tsitsikamma National Park","Chrysoblephus laticeps","Sparidae",NA,NA
0.5,0.063,2.849,NA,"unsexed",NA,NA,NA,NA,NA,NA,"South Africa","Natal","Chrysoblephus puniceus","Sparidae",NA,NA
0.98,0.01,3.1,NA,"unsexed","2.1- 29.7","SL",0.98,NA,NA,311,"Taiwan","southwestern coast of Taiwan / 2009-2010","Chrysochir aureus","Sciaenidae",2.1,29.7
0.9,0.0327,2.771,NA,"unsexed","17.0- 54.6","TL",0.895,NA,NA,27,NA,NA,"Cichla intermedia","Cichlidae",17,54.6
0.95,0.0263,2.91,NA,"unsexed","3.6- 27.0","SL",0.946,0.18,0.1647,60,"Brazil","Taquari River, Paranapanema Basin / 2011-2013.","Cichla kelberi","Cichlidae",3.6,27
0.97,0.011,2.91,NA,"unsexed","10.0- 18.5","TL",0.97,0.19,0.1963,26,"Brazil","Para?ba do Sul River / 2010-2011","Cichla kelberi","Cichlidae",10,18.5
0.7,0.00762,3.175,NA,"mixed","3.4- 40.1","TL",NA,NA,NA,484,"Brazil","Lobo Reservoir, 2002-2006","Cichla kelberi","Cichlidae",3.4,40.1
0.97,0.0072,3.2,NA,"unsexed","4.6- 39.4","TL",0.97,0.07,0.0865,292,"Brazil","Juturnaiba Reservoir / 2006-2007","Cichla kelberi","Cichlidae",4.6,39.4
0,0.0225,3,NA,"unsexed","50.2- 64.8","TL",NA,NA,NA,4,"Brazil","Xingu River","Cichla melaniae","Cichlidae",50.2,64.8
0.99,0.0084,3.15,NA,"unsexed","5.1- 36.0","TL",0.986,0.11,0.1249,57,"Brazil","Xingu River basin / 2012-2014","Cichla melaniae","Cichlidae",5.1,36
0,0.0246,3,NA,"unsexed","34.0- 63.5","TL",NA,NA,NA,3,"Brazil","Rio Negro, Amazonas","Cichla monoculus","Cichlidae",34,63.5
0.7,0.0196,3,NA,"unsexed","15.0- 30.0","SL",NA,NA,NA,6,"Panama","Chagres River, 1973","Cichla ocellaris","Cichlidae",15,30
0.7,0.0211,3,NA,"unsexed","14.0- 28.0","SL",NA,NA,NA,8,"Brazil","Río Negro, Manaus, 1973","Cichla ocellaris","Cichlidae",14,28
0.7,0.0236,3,NA,"unsexed","16.0- 29.0","SL",NA,NA,NA,7,"Panama","Gatun Lake, 1973","Cichla ocellaris","Cichlidae",16,29
0.7,0.026,3,NA,"unsexed","15.0- 30.0","SL",NA,NA,NA,8,"Panama","Chagres River, 1977","Cichla ocellaris","Cichlidae",15,30
0.7,0.0272,3,NA,"unsexed","16.0- 28.0","SL",NA,NA,NA,6,"Panama","Gatun lake, 1977","Cichla ocellaris","Cichlidae",16,28
0.7,0.0326,3,NA,"unsexed","15.0- 25.0","SL",NA,NA,NA,5,"Venezuela","Río Guariquito, 1972","Cichla ocellaris","Cichlidae",15,25
0.7,0.00977,3.09,NA,"unsexed","15.0- 30.0","SL",NA,NA,NA,27,"Hawaii","Wahiawa Reservoir, 1971-72","Cichla ocellaris","Cichlidae",15,30
0.72,0.00628,3.241,NA,"unsexed","38.1- 72.0","TL",0.716,NA,NA,16,"Brazil","Lakes and rivers in Brazil, Colombia and Venezuela","Cichla orinocensis","Cichlidae",38.1,72
0.98,0.01506,3.16,NA,"unsexed","8.5- 44.2","SL",0.98,0.029,0.0392,217,"Brazil","Madiera River, Amazon /  2008-2011","Cichla pleiozona","Cichlidae",8.5,44.2
0,0.04181,3,"yes","unsexed","66.0- 66.0","TL",NA,NA,NA,1,NA,NA,"Cichla temensis","Cichlidae",66,66
1,0.034,3.044,NA,"unsexed","2.8- 13.5","SL",0.997,0.142,0.1165,10,"Mexico","Grijalva River in Chiapas / 2006, 2009","Cichlasoma grammodes","Cichlidae",2.8,13.5
0.98,0.047,3.14,NA,"unsexed","0.8- 7.8","SL",0.98,0.1,0.0551,70,"Brazil","Iguatemi River / 2006-2008","Cichlasoma paranaense","Cichlidae",0.8,7.8
0.98,0.0373,3.18,NA,"unsexed","4.0- 9.5","SL",0.98,0.11,0.0931,64,"Brazil","Taquari River, Paranapanema Basin / 2011-2013.","Cichlasoma paranaense","Cichlidae",4,9.5
0.98,0.04,3,NA,"unsexed","3.6- 18.6","SL",0.983,0.087,0.0969,81,"Mexico","Grijalva River in Chiapas / 2006, 2009","Cichlasoma pearsei","Cichlidae",3.6,18.6
0.98,0.061,2.748,NA,"unsexed","2.5- 9.6","SL",0.978,0.183,0.1519,24,"Mexico","Grijalva River in Chiapas / 2006, 2009","Cichlasoma salvini","Cichlidae",2.5,9.6
0.99,0.0438,2.931,NA,"mixed","5.8- 21.0","SL",0.986,NA,NA,847,"USA","SE Florida dwarf mangrove forests, 1990-97","Cichlasoma urophthalmum","Cichlidae",5.8,21
0.99,0.0239,3.006,NA,"unsexed","","TL",0.992,NA,NA,377,"Mexico","Terminos lagoon, Gulf of Mexico","Cichlasoma urophthalmum","Cichlidae",NA,NA
0.96,0.0331,3.14,NA,"mixed","7.0- 20.0","SL",0.96,NA,NA,830,"Mexico","Celestun Lagoon, Yucatan (1985-1986)","Cichlasoma urophthalmum","Cichlidae",7,20
0.96,0.0324,3.15,NA,"female","7.0- 20.0","SL",0.964,NA,NA,312,"Mexico","Celestun Lagoon, Yucatan (1985-1986)","Cichlasoma urophthalmum","Cichlidae",7,20
0.96,0.0295,3.18,NA,"male","7.0- 20.0","SL",0.962,NA,NA,413,"Mexico","Celestun Lagoon, Yucatan (1985-1986)","Cichlasoma urophthalmum","Cichlidae",7,20
0,0.0064,3,NA,"unsexed","","TL",NA,NA,NA,NA,"France","","Ciliata mustela","Lotidae",NA,NA
0.92,0.0052,3.169,NA,"unsexed","7.5- 23.5","TL",0.916,NA,NA,307,"","North Sea / 1994-2007","Ciliata mustela","Lotidae",7.5,23.5
0.99,0.0089,3.131,NA,"male",NA,"SL",0.994,NA,NA,204,"UK Engld Wal","Severn Estuary and Bristol Channel (1972-1976)","Ciliata septentrionalis","Lotidae",NA,NA
1,0.00769,3.226,NA,"female",NA,"SL",0.996,NA,NA,147,"UK Engld Wal","Severn Estuary and Bristol Channel (1972-1976)","Ciliata septentrionalis","Lotidae",NA,NA
0.91,0.045,2.657,NA,"unsexed","20.5- 76.0","TL",0.908,NA,NA,253,"Bangladesh","kapati Lake","Cirrhinus cirrhosus","Cyprinidae",20.5,76
0.5,0.0124,2.688,NA,"unsexed","","",NA,NA,NA,NA,"India","Panchet Reservoir","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.5,0.00632,2.757,NA,"unsexed","","",NA,NA,NA,NA,"India","Tilaiya Reservoir","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.5,0.0101,2.996,NA,"unsexed","","",NA,NA,NA,NA,"India","River Ganga & Yamuna at Allahabad","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.5,0.0012,3.025,NA,"unsexed","","",NA,NA,NA,NA,"India","Tanks and Fort moat at Cuttack","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.5,0.00733,3.052,NA,"unsexed","","",NA,NA,NA,NA,"India","Aligarh waters","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.9,0.00546,3.122,NA,"unsexed","19.5- 100.0","",0.903,NA,NA,415,"India","River Brahmaputra, Assam, 1974-79","Cirrhinus cirrhosus","Cyprinidae",19.5,100
0.5,0.00285,3.221,NA,"unsexed","","",NA,NA,NA,NA,"India","River Ganga at Buxar","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.5,0.00118,3.293,NA,"unsexed","","",NA,NA,NA,NA,"India","Maithon Reservoir","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.5,0.00138,3.337,NA,"male","","",NA,NA,NA,NA,"India","Allahabad","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.5,0.00114,3.367,NA,"female","","",NA,NA,NA,NA,"India","Allahabad","Cirrhinus cirrhosus","Cyprinidae",NA,NA
0.92,0.0137,2.861,NA,"unsexed","20.7- 37.0","TL",0.918,NA,NA,181,"Laos","Mekong mainstream","Cirrhinus microlepis","Cyprinidae",20.7,37
0.99,0.00767,3.09,NA,"unsexed","10.3- 40.2","TL",0.992,0.07,0.0889,70,"China","Hongshui River / 2009-2013","Cirrhinus molitorella","Cyprinidae",10.3,40.2
0.5,0.0145,3.133,NA,"unsexed","","",NA,NA,NA,NA,"China","Dongjiang River, Guangdon, 1981-82","Cirrhinus molitorella","Cyprinidae",NA,NA
0.5,0.0196,3.133,NA,"unsexed","","TL",NA,NA,NA,NA,"China","Dongjiang River","Cirrhinus molitorella","Cyprinidae",NA,NA
0.99,0.00615,3.141,NA,"unsexed","20.8- 41.5","TL",0.986,NA,NA,24,"Laos","Mekong mainstream","Cirrhinus molitorella","Cyprinidae",20.8,41.5
0.97,0.01123,3.355,NA,"unsexed","17.0- 87.0","TL",0.97,0.047,NA,265,"India","peninsular rivers / 2009-2012","Cirrhinus mrigala","Cyprinidae",17,87
0.97,0.0019,3.52,NA,"unsexed","18.0- 31.6","TL",0.97,0.31,0.3985,22,"India","Gomti River / 2007-2009","Cirrhinus mrigala","Cyprinidae",18,31.6
0.99,0.00489,3.227,NA,"male",NA,"TL",0.987,0.062,0.0661,139,"Bangladesh","Ganges River, April 2011-March 2012","Cirrhinus reba","Cyprinidae",NA,NA
0.97,0.0025,3.523,NA,"mixed",NA,"TL",0.968,0.08,0.0969,250,"Bangladesh","Ganges River, April 2011-March 2012","Cirrhinus reba","Cyprinidae",NA,NA
0.96,0.00193,3.646,NA,"female",NA,"TL",0.957,0.147,0.1716,111,"Bangladesh","Ganges River, April 2011-March 2012","Cirrhinus reba","Cyprinidae",NA,NA
0.91,0.0172,2.977,"","unsexed","4.5- 8.0","TL",0.912,NA,NA,14,"New Caledonia","lagoon","Cirrhitichthys falco","Cirrhitidae",4.5,8
0,0.00333,3.849,"yes","mixed","4.3- 8.0","FL",0.882,NA,NA,17,"New Caledonia","","Cirrhitichthys falco","Cirrhitidae",4.3,8
0,0.03315,3,"yes","unsexed","","SL",NA,NA,NA,1,"","","Cirrhitichthys oxycephalus","Cirrhitidae",NA,NA
0.98,0.0138,3.117,"","unsexed","2.4- 8.5","TL",0.984,0.378,NA,1760,"Mexico","Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003","Cirrhitichthys oxycephalus","Cirrhitidae",2.4,8.5
0,0.01696,3,NA,"unsexed","9.8- 10.2","TL",NA,NA,NA,2,NA,NA,"Cirrhitops fasciatus","Cirrhitidae",9.8,10.2
0,0.02913,3,NA,"unsexed","8.2- 8.5","SL",NA,NA,NA,2,NA,NA,"Cirrhitops fasciatus","Cirrhitidae",8.2,8.5
0,0.02138,3,"","unsexed","19.6- 19.6","TL",NA,NA,NA,1,NA,NA,"Cirrhitus pinnulatus","Cirrhitidae",19.6,19.6
0,0.03584,3,"yes","unsexed","","SL",NA,NA,NA,1,NA,NA,"Cirrhitus pinnulatus","Cirrhitidae",NA,NA
0,0.02761,3,NA,"unsexed","53.0- 53.0","TL",NA,NA,NA,1,NA,NA,"Cirrhitus rivulatus","Cirrhitidae",53,53
0.9,0.0147,3.099,NA,"mixed","7.0- 10.0","FL",0.901,NA,NA,19,"New Caledonia",NA,"Cirripectes chelomatus","Blenniidae",7,10
0,0.00199,3,NA,"unsexed","9.0- 9.0","TL",NA,NA,NA,1,NA,NA,"Cirripectes fuscoguttatus","Blenniidae",9,9
0,0.00423,3,NA,"unsexed","","SL",NA,NA,NA,1,NA,NA,"Cirripectes fuscoguttatus","Blenniidae",NA,NA
0,0.00213,3,NA,"unsexed","6.9- 6.9","TL",NA,NA,NA,1,NA,NA,"Cirripectes polyzona","Blenniidae",6.9,6.9
0,0.00324,3,NA,"unsexed","","SL",NA,NA,NA,1,NA,NA,"Cirripectes polyzona","Blenniidae",NA,NA
0.98,0.0207,2.906,NA,"unsexed","5.5- 9.0","TL",0.978,NA,NA,17,"New Caledonia",NA,"Cirripectes stigmaticus","Blenniidae",5.5,9
0.98,0.0183,2.969,NA,"mixed","5.5- 9.0","FL",0.978,NA,NA,17,"New Caledonia",NA,"Cirripectes stigmaticus","Blenniidae",5.5,9
0.89,0.0127,2.76,NA,"unsexed","4.3- 5.5","TL",0.885,NA,NA,14,"Brazil","Central coast, 1993-2000","Citharichthys arenaceus","Paralichthyidae",4.3,5.5
0.98,0.00715,3.083,NA,"mixed","3.1- 19.1","TL",0.982,NA,NA,82,"Brazil","Espirito Santo (0°S - 25°S), 2003-2004","Citharichthys arenaceus","Paralichthyidae",3.1,19.1
0.99,0.0101,3.28,NA,"unsexed","3.5- 9.6","SL",0.989,NA,NA,36,"Brazil","Central coast, 1993-2000","Citharichthys arenaceus","Paralichthyidae",3.5,9.6
0.99,0.0046,3.282,NA,"mixed","7.1- 16.3","TL",0.986,0.384,0.7604,73,"Brazil","Paraná (0°S - 25°S), 2003-2004","Citharichthys arenaceus","Paralichthyidae",7.1,16.3
0.9,0.004,3.455,NA,"unsexed","7.0- 15.0","TL",0.903,0.14,NA,234,"Mexico","Baja California Sur / 2004 - 2006","Citharichthys fragilis","Paralichthyidae",7,15
0.91,0.006,3.384,NA,"unsexed","7.3- 14.7","TL",0.907,0.13,NA,246,"Mexico","Baja California Sur / 2004 - 2006","Citharichthys gordae","Paralichthyidae",7.3,14.7
0.99,0.00749,2.95,NA,"unsexed","4.6- 15.2","TL",0.994,0.08,0.0683,38,"Mexico","Parana´ state coast / 2004 - 2005","Citharichthys macrops","Paralichthyidae",4.6,15.2
0.99,0.00618,3.2,NA,"mixed","5.5- 19.2","TL",0.986,0.373,0.8463,31,"Brazil","Espirito Santo (0°S - 25°S), 2003-2004","Citharichthys macrops","Paralichthyidae",5.5,19.2
0.99,0.0046,3.282,NA,"mixed","7.1- 16.3","TL",0.987,0.376,0.9228,73,"Brazil","Paraná (0°S - 25°S), 2003-2004","Citharichthys macrops","Paralichthyidae",7.1,16.3
0.9,0.006,3.22,NA,"unsexed","10.5- 17.0","TL",0.901,0.58,NA,17,"Mexico","Baja California Sur / 2004 - 2006","Citharichthys platophrys","Paralichthyidae",10.5,17
0.96,0.001,3.916,NA,"unsexed","6.2- 20.6","TL",0.963,0.056,NA,345,"Mexico","Gulf of California (Southern Sinaloa and Nayarit), 2005-2007","Citharichthys platophrys","Paralichthyidae",6.2,20.6
0,0.03024,2.27,"yes","unsexed","11.0- 17.3","TL",0.965,0.21,0.1977,20,"Mexico","Parana´ state coast / 2004 - 2005","Citharichthys spilopterus","Paralichthyidae",11,17.3
0.99,0.0105,2.95,"","unsexed","2.7- 9.8","TL",0.988,NA,NA,40,"Brazil","Northern region (Curuçá Estuary), Pará, 2003-2004","Citharichthys spilopterus","Paralichthyidae",2.7,9.8
0.7,0.0107,2.974,"","unsexed","5.8- 12.7","TL",NA,NA,NA,2538,"USA","Gulf of Mexico, Louisiana & Mississippi","Citharichthys spilopterus","Paralichthyidae",5.8,12.7
0.99,0.00653,3.099,"","mixed","2.1- 15.3","TL",0.988,0.325,0.6029,239,"Brazil","Pará (0°S - 25°S), 2003-2004","Citharichthys spilopterus","Paralichthyidae",2.1,15.3
0.97,0.007,3.148,"","unsexed","1.3- 14.0","TL",0.97,0.559,NA,645,"Brazil","Marapanim River, Para State / 2006-2007.","Citharichthys spilopterus","Paralichthyidae",1.3,14
0.98,0.00581,3.175,"","unsexed","8.2- 19.0","TL",0.976,NA,NA,100,"Brazil","Southeastern region (São Sebastião System), São Paulo, 1997","Citharichthys spilopterus","Paralichthyidae",8.2,19
0.98,0.0055,3.22,"","unsexed","5.3- 17.1","TL",0.98,NA,NA,506,"Brazil","Southeastern region, 1995-1996","Citharichthys spilopterus","Paralichthyidae",5.3,17.1
0.85,0.025,2.284,NA,"unsexed","","TL",0.85,0.025,NA,51,"Nigeria","Ologe Lagoon, 3° 2'E to 3° 7'E; 6°27'N to 6°30'N, 2007","Citharinus citharus","Citharinidae",NA,NA
0.95,0.0197,3.038,NA,"unsexed","11.0- 28.9","FL",0.945,NA,NA,185,"Nigeria","Kainji Lake","Citharinus citharus","Citharinidae",11,28.9
0.99,0.0102,3.11,NA,"unsexed","5.2- 32.5","TL",0.99,NA,NA,142,"Benin","Ouémé River Basin, 1999-2001","Citharinus latus","Citharinidae",5.2,32.5
0,0.05767,2.293,"yes","mixed","10.3- 17.5","TL",0.54,NA,NA,19,"Greece","Kyclades, 1997-98","Citharus linguatula","Citharidae",10.3,17.5
0.85,0.01204,2.781,"","unsexed","9.2- 23.2","TL",0.846,NA,NA,125,"Portugal","Algarve, 1996-97","Citharus linguatula","Citharidae",9.2,23.2
0.98,0.0114,2.819,"","unsexed","6.5- 21.3","TL",0.98,6.435,NA,338,"Turkey","NE Mediterranean coast, 2001-2003","Citharus linguatula","Citharidae",6.5,21.3
0.81,0.0113,2.87,"","unsexed","13.0- 24.3","TL",0.81,1.374,NA,1844,"Portugal","off Algarve coast, 1998-00","Citharus linguatula","Citharidae",13,24.3
0.5,0.0111,2.87,"","mixed","- 20.0","TL",NA,NA,NA,NA,"Italy","Adriatic Sea","Citharus linguatula","Citharidae",NA,20
0.98,0.00856,2.978,"","mixed","12.0- 23.1","TL",0.98,NA,NA,22,"Greece","G. S. Evvoikos , 1992-93","Citharus linguatula","Citharidae",12,23.1
0.96,0.007,3.009,"","unsexed","11.5- 39.7","TL",0.962,0.854,1.0485,377,"Greece","Korinthiakos Gulf / 2008-2009","Citharus linguatula","Citharidae",11.5,39.7
0.99,0.008,3.04,"","unsexed","6.8- 14.2","TL",0.986,NA,NA,60,"Egypt","off Alexandria, 1998","Citharus linguatula","Citharidae",6.8,14.2
0.98,0.0058,3.075,"","unsexed","3.5- 21.0","TL",0.979,0.03,NA,922,"Turkey","Babadillimani Bight (northeastern Mediterranean), 1999-2000","Citharus linguatula","Citharidae",3.5,21
0.98,0.0056,3.084,"","mixed","4.9- 25.4","TL",0.98,NA,NA,284,"Spain","Gulf of Cadiz, 2009-11","Citharus linguatula","Citharidae",4.9,25.4
0.97,0.00504,3.109,"","female","6.3- 23.9","TL",0.97,NA,NA,239,"Greece","C. Aegean Sea, 1990","Citharus linguatula","Citharidae",6.3,23.9
0.98,0.00486,3.117,"","male","6.5- 18.5","TL",0.98,NA,NA,159,"Greece","C. Aegean Sea, 1990","Citharus linguatula","Citharidae",6.5,18.5
0.75,0.0037,3.207,"","unsexed","13.1- 24.3","TL",0.747,NA,NA,170,"Portugal","Nazaré to St André, 1997","Citharus linguatula","Citharidae",13.1,24.3
0.91,0.00915,3.237,"","unsexed","13.1- 20.6","TL",0.91,NA,NA,38,"Croatia","Eastern Adriatic, 1991-94","Citharus linguatula","Citharidae",13.1,20.6
0.99,0.003,3.3,"","unsexed","8.6- 20.0","TL",0.986,NA,NA,50,"Spain","Balearic Islands, 1995-96","Citharus linguatula","Citharidae",8.6,20
0.82,0.00074,3.447,"","mixed","5.9- 22.0","TL",0.82,NA,NA,141,"Greece","G. N. Evvoikos and Trikeri Channel, 1993","Citharus linguatula","Citharidae",5.9,22
0.95,9e-04,3.725,"","unsexed","15.1- 18.9","TL",0.954,1.151,NA,8,"Turkey","Gökceada Island (northern Aegean Sea), 2004-2018","Citharus linguatula","Citharidae",15.1,18.9
0.97,0.0101,2.86,NA,"male",NA,"TL",0.97,NA,NA,61,"Nigeria","River Anambra basin, 1983-85","Clarias agboyiensis","Clariidae",NA,NA
0.97,0.00458,3.17,NA,"female",NA,"TL",0.97,NA,NA,51,"Nigeria","River Anambra basin, 1983-85","Clarias agboyiensis","Clariidae",NA,NA
0.96,0.007,2.972,NA,"unsexed","9.0- 58.0","SL",0.959,0.92,NA,183,"Cote d'Ivoire","River Bia (1995-97); Rivers Soumié, Eholié, Ehania and Noé, 2003-2005","Clarias anguillaris","Clariidae",9,58
0.96,0.00687,3.017,NA,"unsexed","7.1- 22.8","TL",0.96,NA,NA,332,"Nigeria","Sokoto-Rima river basin, 1982-84","Clarias anguillaris","Clariidae",7.1,22.8
0.95,0.00827,3.062,NA,"unsexed","14.5- 43.0","SL",0.953,NA,NA,128,"Ghana","Volta River","Clarias anguillaris","Clariidae",14.5,43
0.98,0.0052,3.2,NA,"unsexed","26.0- 29.0","SL",0.976,NA,NA,24,"Burkina Faso","Nakambé, Volta River, 2000","Clarias anguillaris","Clariidae",26,29
0.5,0.024,2.5,NA,"unsexed","","",NA,NA,NA,NA,"India","Bankura, West Bengal (aquaria)","Clarias batrachus","Clariidae",NA,NA
0.9,0.028,2.7,NA,"unsexed","15.8- 28.9","SL",0.9,0.62,0.8451,NA,"Philippines","Pampanga River, Candaba, 2007-2008","Clarias batrachus","Clariidae",15.8,28.9
0.93,0.0216,2.676,NA,"unsexed","12.8- 34.1","TL",0.933,NA,NA,72,"Nigeria","Ikpa River","Clarias buthupogon","Clariidae",12.8,34.1
0.96,0.006,3.07,NA,"unsexed","","TL",0.958,NA,NA,7,"Zambia","Bangweulu swamps, 1994-96","Clarias buthupogon","Clariidae",NA,NA
0,0.012,2.227,"yes","unsexed","8.4- 36.7","SL",0.979,0.868,NA,28,"Cote d'Ivoire","River Bia (1995-97); Rivers Soumié, Eholié, Ehania and Noé, 2003-2005","Clarias ebriensis","Clariidae",8.4,36.7
0.92,0.01276,2.822,"","unsexed","8.3- 27.0","TL",0.919,NA,NA,127,"Benin","Ouémé River Basin, 1999-2001","Clarias ebriensis","Clariidae",8.3,27
0,0.13,2.38,"yes","unsexed","","",NA,NA,NA,NA,"","Africa","Clarias gariepinus","Clariidae",NA,NA
0.85,0.04,2.699,"","unsexed","","",0.846,NA,NA,355,"South Africa","Lake Sibaya","Clarias gariepinus","Clariidae",NA,NA
0.5,0.021,2.738,"","unsexed","","TL",NA,NA,NA,NA,"Botswana","Okavango Delta","Clarias gariepinus","Clariidae",NA,NA
0.5,0.0298,2.751,"","unsexed","","",NA,NA,NA,NA,"Egypt","Barrage ponds","Clarias gariepinus","Clariidae",NA,NA
0.6,0.0194,2.816,"","unsexed","","",NA,NA,NA,2183,"Egypt","Serow Experimental Ponds, 1964-69","Clarias gariepinus","Clariidae",NA,NA
0.5,0.015,2.83,"","unsexed","","",NA,NA,NA,NA,"Zimbabwe","Lake Kariba","Clarias gariepinus","Clariidae",NA,NA
